title,city,country,source_file,status,provider,license,source_page,media_url,local_asset
Adana citrus,Adana,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Adana kebab,Adana,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Bici bici,Adana,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Kazancılar bazaar evening,Adana,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Stone Bridge & Seyhan,Adana,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Şalgam,Adana,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Ankara tava,Ankara,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Anıtkabir,Ankara,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Beypazarı kurusu,Ankara,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Kalecik grapes,Ankara,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Museum of Anatolian Civilizations,Ankara,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Turkish coffee,Ankara,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Antalya piyazı,Antalya,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Finike orange,Antalya,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Kaleiçi,Antalya,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Old harbor evening walk,Antalya,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Serpme börek,Antalya,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Turunç sherbet,Antalya,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Bursa peach,Bursa,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Grand Mosque & Koza Han,Bursa,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Historic silk bazaar culture,Bursa,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
İskender kebab,Bursa,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Tahinli pide,Bursa,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Şıra,Bursa,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Bozcaada grape juice,Canakkale,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Bozcaada grapes,Canakkale,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Ezine cheese tasting,Canakkale,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Gallipoli memory route,Canakkale,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Sardine dishes,Canakkale,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Troy archaeological site,Canakkale,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Denizli kebabı,Denizli,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Grape sherbet,Denizli,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Hierapolis heritage walk,Denizli,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Leblebi,Denizli,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Pamukkale travertines,Denizli,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Çal grapes,Denizli,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Burma kadayıf,Diyarbakir,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Diyarbakır Walls,Diyarbakir,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Diyarbakır watermelon,Diyarbakir,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
Hevsel Gardens walk,Diyarbakir,,edible/lib/features/explore/data/datasources/turkiye_launch_catalog.dart,UNRESOLVED,,,,,
